Concat,Year,Fenn First,Fenn Second,Director,Engraver,Delineator,Name,,Year,Count,TotalByYear
Plate 3.33,1796,n/a,n/a,,,,Six Views of Cowdray House,,,,
Plate 3.34,1796,n/a,n/a,,,,Six Views of Cowdray House (2 of 5),,,,
Plate 3.35,1796,n/a,n/a,,,,Six Views of Cowdray House (3 of 5),,,,
Plate 3.36,1796,n/a,n/a,,,,Six Views of Cowdray House (4 of 5),,,,
Plate 3.37,1796,n/a,n/a,,,,Six Views of Cowdray House (5 of 5),,,,
Plate 3.38,1796,n/a,n/a,,,,Chimney Piece in the Bishop’s Palace at Exeter,,,,
Plate 3.39,1796,n/a,n/a,,,,Tessellated Pavement at Colchester,,,,
Plate 3.4,1796,n/a,n/a,,,,Five Plates of Hedingham Castle,,,,
Plate 3.41,1796,n/a,n/a,,,,Five Plates of Hedingham Castle (2 of 5),,,,
Plate 3.42,1796,n/a,n/a,,,,Five Plates of Hedingham Castle (3 of 5),,,,
Plate 3.43,1796,n/a,n/a,,,,Five Plates of Hedingham Castle (4 of 5),,,,
Plate 3.44,1796,n/a,n/a,,,,Five Plates of Hedingham Castle (5 of 5),,,,
