Concat,Year,Fenn First,Fenn Second,Director,Engraver,Delineator,Name
Plate 2.25,1767,3,,Greogry Sharpe,,,Palace of Placentia
Plate 2.26,1768,4,,Greogry Sharpe,James Basire the elder,,"East Window of St. Margaret’s Church, Westminster"
Plate 2.27,1769,3,,Greogry Sharpe,John Pye,unknown,Hampton Court Palace
Plate 2.28,1770,5,,Greogry Sharpe,James Watson,Francis Cotes,Portrait of Charles Lyttelton
Plate 2.29,1780,4,,Richard Gough,James Basire the elder,James Basire the elder,Three Monuments in Westminster Abbey
Plate 2.30,1780,4,,Richard Gough,James Basire the elder,James Basire the elder,Three Monuments in Westminster Abbey (2 of 7)
Plate 2.31,1780,4,,Richard Gough,James Basire the elder,James Basire the elder,Three Monuments in Westminster Abbey (3 of 7)
Plate 2.32,1780,4,,Richard Gough,James Basire the elder,James Basire the elder,Three Monuments in Westminster Abbey (4 of 7)
Plate 2.33,1780,4,,Richard Gough,James Basire the elder,James Basire the elder,Three Monuments in Westminster Abbey (5 of 7)
Plate 2.34,1780,4,,Richard Gough,James Basire the elder,James Basire the elder,Three Monuments in Westminster Abbey (6 of 7)
Plate 2.35,1780,4,,Richard Gough,James Basire the elder,James Basire the elder,Three Monuments in Westminster Abbey (7 of 7)
Plate 2.36,1784,n/a,,Richard Gough,James Basire the elder,John Carter,Monument of Raherus and St Bartholomew’s Priory Church
Plate 2.37,1784,n/a,,Richard Gough,James Basire the elder,John Carter,Monument of Raherus and St Bartholomew’s Priory Church (2 of 2)
Plate 2.38,1786,n/a,,Richard Gough,James Basire the elder,,"Fountain at Rouen, Dedicated to Joan of Arc"
Plate 2.39,1786,4,,Richard Gough,James Basire the elder,John Carter,Font in Winchester Cathedral
Plate 2.40,1786,4,,Richard Gough,James Basire the elder,John Carter,Font in Winchester Cathedral (2 of 2)
Plate 2.41,1786,3,,Richard Gough,James Basire the elder,George Vertue,Palace of Beaulieu
Plate 2.42,1786,3,,Richard Gough,James Basire the elder,George Vertue,Palace of Beaulieu (2 of 2)
Plate 2.43,1788,1,,Richard Gough,James Basire the elder,Catherine Downes,Roman Pavements Found Near Warminster
Plate 2.44,1788,1,,Richard Gough,James Basire the elder,Samuel Lysons,Roman Pavements Found at Cirencester and Woodchester
Plate 2.45,1789,4,,Richard Gough,James Basire the elder,Jacob Schnebbelie,Chantry Chapels in Winchester Cathedral
Plate 2.46,1789,4,,Richard Gough,James Basire the elder,Jacob Schnebbelie,Chantry Chapels in Winchester Cathedral (2 of 6)
Plate 2.47,1789,4,,Richard Gough,James Basire the elder,Jacob Schnebbelie,Chantry Chapels in Winchester Cathedral (3 of 6)
Plate 2.48,1789,4,,Richard Gough,James Basire the elder,Jacob Schnebbelie,Chantry Chapels in Winchester Cathedral (4 of 6)
Plate 2.49,1789,4,,Richard Gough,James Basire the elder,Jacob Schnebbelie,Chantry Chapels in Winchester Cathedral (5 of 6)
Plate 2.50,1789,4,,Richard Gough,James Basire the elder,Jacob Schnebbelie,Chantry Chapels in Winchester Cathedral (6 of 6)
Plate 2.51,1789,n/a,,Richard Gough,James Basire the elder,Jacob Schnebbelie,Malmesbury Chasse (Maidulf Reliquary)
Plate 2.52,1789,n/a,,Richard Gough,James Basire the elder,Jacob Schnebbelie,Malmesbury Chasse (Maidulf Reliquary) (2 of 2)
Plate 2.53,1789,4,,Richard Gough,James Basire the elder,Jacob Schnebbelie,Monument of Henry and Elizabeth Bourchier
Plate 2.54,1789,3,,Richard Gough,James Basire the elder,Adam de Cardonelle,Ruthwell Cross
Plate 2.55,1789,3,,Richard Gough,James Basire the elder,Adam de Cardonelle,Ruthwell Cross (2 of 2)
